Sentiment,Tweet
0,~heute Abend Fußball Brasilien gegen Germany nu mal schauen  ZDF 20:15 :) wers nicht wissen sollte...
0,[Gerücht] Nozomi: Sony Ericssons neues Flaggschiff: Offenbar wird bald ein neues Flaggschiff von Sony Ericsson i... ~http 
0,[Gerücht] Microsoft zeigt Windows 8 auf Samsung-Tablet: Schon in wenigen Tagen (am 13. September) will Microsoft... ~http 
1,[DiscoSion] Vielen Dank für verfolgen! Ich hoffe euch bei unserer Veranstaltung im Namen der Iniziatoren begrüßen zu konnen VG @user ...
1,Zurück von der #fusion - Gesund und glücklich; aber nass!
-1,Zurück in Düsseldorf - war klar dass das Wetter schlecht ist...
0,Zurück in Curacao :)
0,Zurück aus München; am WE Umzug Teil III
1,Zum ersten mal ein Tweed von einem Apple gerät fühlt man sich gleich mehr in der gesellschaft akzeptiert
-1,Zum #Plagiat Vorfall: Selbst der erste Absatz findet sich woander wieder. Schon dreist. ~http 
-1,Zukünftiger Samsung Galaxy Besitzer vom Nebentisch hat endlich das Lokal verlassen. Selten soviel Schwachsinn (mitan)gehört.
0,Zugeschneiter Eingang uzu den Ferienwohnungen ~http 
-1,Zuckerberg reagiert eben nur auf Druck... RT @user Es tut sich was: Neue #Privacy Einstellungen bei #Facebook  ~http 
-1,Zu Hause |D Hunger; Klavier...und Hunger
1,zu Hause (:
0,Zu einen dieser ominösen Abstürtze ist es nicht gekommen! =)
0,zorolo verlost einen Samsung 3D-Fernseher; weil @user (~http  weiß; was Fans glücklich macht!
0,Zockt mit @user auf der ganz alten Nintendo voll retro SWAG
0,Zitat: Sagst du’s mir; so vergesse ich es. Zeigst du’s mir; so merke ich es mir. Lässt du mich teilhaben; so verstehe ich es. (China)
0,"Zitat @user : ""Biep! Crckz! Ratter-Ratter! Mehmep! Wiisssssd!... Was denn; ich bin ein Drucker!"""
0,Zensur bei Twitter; Facebook; Wikipedia & co.? Aufruf: ~http 
0,Zeigt her Eure Lieblinge - Parade 7 Woche ~http 
0,Zehn lustige Domainnamen ~http  #domains #seitennamen #seitenadressen #humor
1,Yummmmiii   RT: @user 500 g nutella für 0;99€ am Freitag (17.12.) bei Lidl bundesweit ~http
0,You can touch this! Wie die Microsoft Touch Mouse entstand:  ~http 
0,yoga und blauer himmel!
0,Yippiyayee! Über 2.000 (!) Restaurants bei Lieferheld! ~http 
1,Yippieh - jetzt zur Aftershow!!:)
1,Yey; gestern war fett (: || Auch Wenn Mir 20 Euro fehlen.
1,yeeeah hab mir cooking mama gekauft :D
1,Yeah! bin alleine in nem fremden Haus.
1,Yeaaahh geil ; kanns kaum abwarten! Wann ist der realese ???RT @user am Freitag signing für den Re Release mit Sony von Blauer Samt
0,Yay! Das neue Eden in Neunkirchen arbeitet ab 28.01 mit Digital 3D :-)
-1,Yahoo-Chefin per Telefon gekündigt. Hm ... dass dazu nicht das Internet genutzt wurde; zeigt Yahoos Niedergang ganz deutlich ...
0,Wunderkind stellt in NY aus ~http 
1,Wuhu mein Sony Ericsson Satio wurde schon auf 50 € geboten! So kanns weiter gehen xD
0,wuhaaaaaahaaaaaaaaaaaaaa; wer hätte gedacht; dass ich auch bei twitter angemeldet bin ^^
1,Wow; was für ein hübsches #Läufergadget! Die #Sport Watch von Nike misst irgendwie alles & besitzt noch ein TomTom-GPS: ~http 
0,Wow! Duisburg ist doch nicht so tot; wie es manchmal tut!! Vielen Dank an alle Anwesenden; war ja mal wirklich... ~http 
0,Wohnen - Ideen & Inspiration: Am Wochenende macht man es sich doch am liebsten gemütlich; oder? Zumindest am Son... ~http 
1,Wochenende war produktiv! Neben diesen beiden 15kg+ fischen konnte ich noch 3 weiter carp´s bis 12kg auf der haben... ~http 
1,Wochen? Monate?-Lang nichts getwittert und immer noch follower unglaublich
0,Wobei Appel meiner Meinung auf den besten Weg ist ein 2 Microsoft zu werden
0,WM Südafrika 2010 - Wer möchte hin?Registriere Dich jetzt und nimm exklusiv am WM Gewinnspiel teil!~http
0,Wirtschaftsminister Rainer Brüderle kann von mir aus nach Fukushima auswandern. Ist ja nicht so schlimm da….
1,wird ja immer geiler hier.
0,Wird beim Islam-Studiengang an der Uni Tübingen dann türkisch gesprochen?
0,"Wird ""2001 - Odysee im Weltraum"" von Samsung gegen iPad am LG DD ins Feld geführt? ~http "
1,Wir wünschen ein schönes Paderborner Schützenfest
1,Wir wünschen allen Kunden und Freunden unseres Weinguts ein gesundes und erfolgreiches neues Jahr!
1,Wir sollten alle mehr Freude empfinden. Meine Montagsgedanken dazu  ~http 
1,Wir sind dabei; Wormser Pfingstmarkt! Wir freuen uns auf interessante Gespräche! Halle 5/512 vom 22. bis 30. Mai 2010 ~http 
