Sentiment,Tweet
0,我顶了一个 YouTube 视频 -- Samsung Galaxy S GT-i9000 Software Tour Part 2 ~http 
0,我顶了一个 YouTube 视频 -- 白色版 Samsung Galaxy S i9000 (white) ~http 
0,~@BostonUpdate gives their thoughts on top 10 resume mistakes: ~http 
0,~ Should mention - students only.  RT @user Want an Xbox? Buy a Windows 7 PC and Microsoft will give you one for free ~http 
0,~ Microsoft buying Skype...hmmm? ~http 
0,~ Microsoft - Skype...done deal!  ~http  I wonder if Skype will continue to be Linux friendly?
0,"~  ""IE 9 puts Microsoft back into the browser game"" by Woody Leonhard:  ~http "
1,} I always go to bed thinking -but always wake up smiling
0,[XXX] My Milk Shake Is Thick And Double Dicked # 2: Type: XXX LinkPlz.com ~http  LinkPlz.com
0,[WATCH] adidas Originals – All Originals; Iconics Commercial 2011 [VIDEO] ~http  via @user .
0,[WATCH] adidas Originals – All Originals; Iconics Commercial 2011 [VIDEO]  ~http  via @user
0,[Video] NYE 2011: Official Playboy New Year's Eve Celebration Feat. T-Pain at Hilton Chicago ~http 
0,[Singles] G4 Boyz &amp; Fred the Godson - &quot;Everything Gucci Rmx&quot; ~http 
0,[new TIAPB post] World Photography Festival and Sony World Photography Awards ~http 
0,[New post] More Skype Rumors: Big News Soon; Microsoft In The Mix:  ~http 
0,[Infographic] Microsoft vs Apple: History of the Computer Giants! ~http  via @user
0,[IE9 Launched] Last chance for Microsoft to save Internet Explorer! ~http  via @user
0,[How To] Install MIUI Custom ROM on Samsung Galaxy S II ~http  #GSII #MIUI #GalaxyS2
0,[App] Microsoft Windows XP Se7en Ultimate Royale SP3 (2011): Type: App LinkPlz.com ~http  LinkPlz.com
0,[App] Microsoft Office Blue Edition x64-x86 (2010): Type: App LinkPlz.com ~http  LinkPlz.com
0,[App] Microsoft Office 2010 Black Edition (x86/x64): Type: App LinkPlz.com ~http  LinkPlz.com
0,Zumba Fitness lessons tonight from 7pm. Come shake your bum with us.
0,Zumba Fitness for Nintendo Wii! Join the Fitness Dancing PARTY! #Win @user ~http  #GIVEAWAY
-1,Zhong Yu uncovered pollution linked to Nike; Adidas production. The toxicity almost cost her foot: ~http  #DT @user
0,Zelda Ocarina of Time comes out for the Nintendo DS on June 19th ~http 
1,YWCA safety siren app AMAZING  #ncwk #mcc
1,Yup; @user is playing mario kart ~http 
0,YuMm vegan gluten free lunch w jtrav in #kensington ~http 
0,yum yum bumble bee bumblebee tuna. goddamn. you're so catchy.
1,Yowzaa! A Microsoft internal newsletter features @user's Microsoft Talk episode on SEO. ^AB
0,YouTube Face Off Samsung Fascinate Vs HTC Droid Incredible Part 1 + Get your free Ipad: goo.gl claim your FREE I... ~http 
-1,your voice doesnt even sound the same.
0,Your stomach looks like gucci mane's. #thataintwinning
0,Your parents are'nt always right.
-1,Your mother is so stupid she goes to Gucci to buy Fendi and stuff! Lol - White Chicks
1,Your gucci match my pradas a good look ;)
-1,Your an expert at sorry ...
-1,YOUR A NON FUCKIN FACTOR. WTF. LMAO!
-1,your a chicken - CHEEP CHEEP CHEEP CHEEEP @user
0,Young Eggheads Will Build/Launch a Rocket via Sony Vaio - mediabistro.com: Age.. ~http 
1,You’ll love the prices on Nike products at ~http 
0,You; Me and Dupree NACHO CHEESE recipe. ~http
0,You've really sunk to a new low if you're a Bing Googler.
1,you're so sweet baby
0,You're losing me..
-1,You'll teach me to do my first! RT @user #semirandom ...why is it so hard for chicks to learn how to load a clip?!
0,You work. I work. FedEx works. Microsoft works. The Salvation Army works. Alcoholics Anonymous works. Government doesn't.
1,You Will Be Surprised And Pleased With The New PSN: GamesThirst - Are you tired of waiting on Sony to turn on PS... ~http
1,You was the best; you are the best; you will always be the best ~ M
0,You was lucky that I stayed on. You crazy if you thought I was gone put your weight on.....
1,you want to squeeze me till i die? cuz thats real love RT @user @user I fucking love you..my teeth are gritting right now.
0,You want others to acknowledge your contributions at work toda... More for Aquarius ~http 
0,You wanna know what's happening; I'm happening
0,YOU TUBE FLOW GUCCI MANE PLAYIN'
-1,You think Facebook settings are complex? You ain't seen nothing until you try deleting a Youtube account. I need a PHD in understanding BS.
-1,You stupid motherSucka's !
-1,You shouldn't know your mom's a member of the mile high club.
-1,You shouldn't have told him that. If you didn't he would've interigated you. Either way it would've blown up in your face.
0,You should check out text from last night. @user
0,You say you have IT management experience along with experience with Microsoft Operating System; Windows Server... ~http 
0,You said a mouthful!
0,You really got me on that BOOM BOW BING  shit lol @user
1,You must rock a GUCCI bag with respect..don't wear it with just anything just to show you have one.
0,You must have been born on a highway… because that's where most accidents happen
0,You might think that your plans are well researched and everyt... More for Virgo ~http 
-1,You lost yo wifey material tho -__-
0,You look so good that it hurts
0,You know you've made it when a) you have your own shoe made by Nike and b) its more expensive than some Air Jordans ~http 
0,you know when your at college & your bestfriend is at your house drinking coffee! :\ #laughoutloud.
-1,You know when you feel so incompetent and utterly useless? ..yeah.
-1,You know what happens when you go lookin for SHIT; you find it!
-1,You know Microsoft dude they don't like to loose cash @user
1,YOU KNOW ITS FUN when u can't tell your parents WHAT YOU DID !!! .. Lol I'm so dead #sleep
-1,You Have Got To Be Kidding Me. Nike just announced they will be playing a reworked Funky Town in their Nike Town stores. ~http 
1,You guyz that was such a good weekennnnnd.
1,You guys LOVE to tweet and show support for Brad; so let's do it where it counts! Request This Is Country Music! Today. Don't wait! &lt;3 :o)
1,You guys have no idea how happy I am. This manga is &lt;333333
0,You ever get that feeling where you wonder just whats wrong with yourself?
0,You dont take the computer when u see im about to use it!!!!!!
0,you don´t get another chance; life is no nintendo game...
1,You don't know your beautiful
0,You don't have balls river!! Juststop
0,You don't get another chance; life is no nintendo game..&lt;3
0,You don't get another chance; life is no nintendo game. #eminem
0,You don't get another chance; Life is no Nintendo game
0,"You do that's who. NEW MTV show ""My sweet 3rd Birthday"" RT @user Who gets a party planner for a 3 year olds bday party????"
0,You didn't tell me you got a new car. I just saw you in front of the sawmill you must be going to Sunday brunch
0,You can't just declare yourself into existence. You must craft a story and live it. -Gunther S.  #marketingu
0,"You can test out Sony HD gadgets and the baristas call you ""baby girl"""
0,You can follow Jeremy Pond on @user at @user ...
-1,You can expect HTC and Samsung to go Windows Phone 7 full speed now to compete with Google; they won't be such Android fans anymore...
-1,you black midget bitch !
-1,You barely bought a Gucci bitch.
0,You and i make nintendo wii!
1,You and i both! RT @user I liked Nicki before; when she was on The Come Up days way more than now
1,You ain't no barbie; you work at arby's #2 super size hurry I'm starving! Lmao that Gucci Gucci song makes me lol
1,You ain't gotta say a damn thing if your making moves. Let the haters speak as success is bing reached.
1,yoou talk it we live it.. yooure jealous admit it(:
0,YOOOOOOOOOOOO ! Nike made the Marty Mcfly MAG Sneakers from #backtothefuture :O idc how much they cost ima get em !
1,Yoh! Can't remember the last time I laughed so hard! Thank u Sony Max
0,Yoga pants .T shirt . Nike Flops. Hoddie
-1,yo.. can somebody tell me ANY lines from the chorus of that gucci mane song Bingo? I cant understand nothin he says
1,Yo people Dj Bedtyme357 is bout to do it up short school bus style on ~http  LIVE!!!! Let's go!!!!
0,Yo Nintendo hook me up with some Diddy Kong action! #dkhoard
-1,Yo is jus me or r tha mosquito's big as shit this year!!!
-1,Yikes weezy killed this gucci gucci freestyle. I mean in a bad way #coverseyes
1,Yesterday Job : ANNETTE's Sweet17Bday - V.I.P. Nite @user .... So Nice So Exicited So Awesome ... Thanx to Frateran n Annette's Friend
0,Yesterday i saw audi q5 3end baytkom…malatkom wella thyoof ?... — My sister's. ~http
-1,yesssss Nintendo gave back my $30 I lost getting and error over and over and over and over; losing $5 each time
0,YESSSS!!!! #happybirthdaytome ~http 
1,Yesssir!  Shits looking black and ugly as ever; however shits gucci down to the socks!RT @user yo u fixed the range @user ??
1,Yessir!!!!!!! I need an Audi S4!!!!!!!!!!! #Machine
0,Yes; Microsoft Did Change The World More Than Apple ~http  via @user
0,Yes; I'm going to ~http  [add_your_message_here] #twtvite
1,Yes; cayenne pepper is a natural decongestant. But if you put too much on your tongue and it kills you; it really doesn't matter. #Ouch.
0,Yes... yes we are. And thank you. I just did like 500 crunches with Garrett today. But why so late??
-1,Yes. I gives no fuks about Gucci being free RT @user Dear Atlanta don't y'all get tired of going to Welcome Home parties for Gucci Mane?
1,Yes! How cool is that? We'll let u know where! RT @user @user Is Paris Hilton buying ice cream for local listeners?
0,Yes Wii did..we went all Nintendo this week; BRAND NEW Wii at Larrybay.com happy bidding.  Bid is still under $100 as of this post
0,Yes we can unlock the Samsung Infuse from #AT&T. Order it using Option 01S in your LOCKPOP account.
0,Yes thhey should
0,Yes sir RT @user Gucci jawn? RT @user Writings on the wall 2 is out
1,Yes new ITouch and new cute white Sony computer. Love it
0,yes ma'aaam. Enjoy ur day love “@KissMy_SuzieQ @user nice an well rested on this beautiful Saturday morning...”
0,Yes its 5am est. Yes this happened. ~http 
0,Yes I'm passing on the next Nexus variant (less its made by motorola) and yes I will sell my newly purchased Samsung Droid Charge
-1,Yes bitch if I'm in the mood to take the bus I will come RT @user @user forreal ??
0,Yep! My poor children too.
0,Yep thats what I thought
0,Yellow Gold Necklace  ~http 
0,yearning for an escape
1,YEAHHH ALEXXX MORGANNNNNNNNN HOLY I LOVE YOU.
1,Yeahh! Gucci mane is one hood ass niggia real talk #bricksquad burrrr
0,Yeah; we're having chicken fried steak and 'taters tonight. I blame @user #teamree
1,Yeah; I REALLY really wanna see you Friday.
0,Yeah...Just Got Free Microsoft certification vouchers from MSP Team India :) ...
0,yeAH no yeah maybe samsung coach is a lesbian; she grabbed her but..a lot
1,YEAH My boy Tyler !!
0,yeah im gucci mane & im poppin' off the chain mane
0,Yeaaaah :D It's GUCCI &lt;3
0,Yea I'm really debating if I wanna buy a ticket to the Miami/Maryland game :/ my heart just...where my @user?
-1,Yea i am &gt;_&gt; RT @user @user Aww damn Bree gone kill us both baby :o
1,yea gucci is doin it up specially on that mario song @user
1,yay; summer ball tonight #chesterunisummerball
0,Yay my cousin Lindsay has just done the voiceovers for Samsung Diva - watch the videos; she's fab ~http  #familyplugging
1,YAY it's Friday!
0,Yay - very exciting times - Sony ready to take on Apple with Android-based tablets ~http 
1,Yawwwwn. I'm 24 hours out. Busy day yesterday. Busy day today also. Are we all well?
0,Yamiil Ask Why Do Girls Need To Wear Bras -__-
1,Yahoo; transferring its European organic search results to Microsoft Bing.
0,Yahoo; Bing Beat Google in Search Success Rate ~http 
0,Yahoo CEO Carol Bartz fired: Yahoo boss Carol Bartz is fired by US internet company: Yahoo's chief executive Carol... ~http 
1,yaas i got my twitpic thingy right again!
0,"Y would u say dat?RT @user If your boyfriend has his sun shades in the wrong box ie "" Gucci in (cont) ~http "
0,y is Gucci on da awards show?
1,Y did I jus buy my 14yr old Daughter sum Nike Blazers & she Laughed@ me!!!!;;;She said Nobody wears Those Anymore!!!;;;;;;UnGrateful Prik!!!
0,Xperia Play price slashed once more as Sony cancel PSP Go ~http  sony camera charger
0,XL or XXL shirt?
1,XBOX gave me 400 Microsoft Points on Monday for no reason whatsoever!  I wish other people can give me things for no reason.
