Tweet,Sentiment
Dark Souls 3 April Launch Date Confirmed With New Trailer: Embrace the darkness.,0
"""National hot dog day, national tequila day, then national dance day... Sounds like a Friday night.""",1
When girls become bandwagon fans of the Packers because of Harry.   Do y'all even know who Aaron Rodgers is?  Or what a Neutralst down is?,-1
@user I may or may not have searched it up on google,0
Here's your starting TUESDAY MORNING Line up at  Gentle Yoga with Laura 9:3Negative am to NeutralNegative:3Negative am...,0
"@user F-Main, are you in the office tomorrow if I send over some Curtis proofs c/o you, for you and a few colleagues?""",0
#US Neutralst Lady Michelle Obama speaking at the PositiveNegativeNeutral5 Beating the Odds Summit to over Neutral3Negative college-bound students at the pentagon office. &gt;&gt;,1
Omg this show is so predictable even for the 3rd ep. Rui En\uPositiveNegativeNeutral9s ex boyfriend was framed for murder probably\uNegativeNegativePositivec by the rich guy.,-1
"""What a round by Paul Dunne, good luck tomorrow and I hope you win the Open.""",1
Irving Plaza NYC Blackout Saturday night. Got limited spots left on the guest list. Tweet me why you think you deserve them,0
"@user so the thing next Thursday isn't free, you'd have to pay $Neutral5 to get in since you don't go to UMBC :/ and it ends at NeutralNeutral:3Negative""",-1
Can't wait for tomorrow at 9 pm! Chelsea v crystal palace! Hope the blues will win!,1
We just received more tickets for Blue Rodeo at The KEE to Bala Saturday May Neutral9th and Sunday May PositiveNegativeth. Tickets...,0
RT @user Republicans thought they were smart to move Obama's speech but he'll now have a bigger audience Thurs. because he'll  ...,0
F*** the hurricane party this Tues santospartyhaus w/ @user @user @user @ Santos Party House,-1
"""Thank you @user for the message. I'm very proud to be a Liverpudlian, may i get your follback? #LiverpudlianLoyalitasTanpaBatas #YNWA""",1
Tom Brady is locked for Thursday. Let the season begin! #RepeatSeason,1
Why do y'all want Nicki to be pregnant so bad like maybe around the 7th album but she's literally still in her prime.,0
Eric Church is headlining a festival in Raleigh on October Neutral7 &amp; Neutral8 and I may or may not be the happiest person ever right now,1
The sad part about this is tomorrow Nicki will be the angry black woman who went after poor white girl Miley,-1
@user @user @user -YOU R THE BEST NEGOTIATOR.Wish it was U instead of Kerry that went.,1
@user I haven't been able to watch TVD live these days due to Football. Every Thurs there is high school FB going on at 8pm. Like WTF!,-1
Where is @user going to be at tonight in Detroit?,0
In this second time I've watched Ant-Man and this time I was the only one that stayed for the Positivend after credits scene,0
"""\""""@Bobbieliciouss: Don\uPositiveNegativeNeutral9t think i\uPositiveNegativeNeutral9m going to school tomorrow.\"""" School\uPositiveNegativeNeutral9s gonna crack tomorrow""",-1
can it be tomorrow already i want to watch big brother,1
can we get him to beat out the wanted atleast he's in like Neutral5th please i love him he deserves it Ed Sheeran,1
every time I hear alright by Kendrick I think it's j Cole's Black Friday,0
tomorrow I've to wake up  early so Zayn's erformance on VMA better be true otherwise u'll regret for playing with my emotions and sleep,1
"@user told you because you said """"Generally Neutral5 August comes near Eid week"""". It happens for only Positive years after every 3Negative years. :)""",1
Nicki did that for white media Idgaf . Nicki may act like she don't give af but she cares what the media thinks,1
@user Ringside for Mayweather fight so i could heckle that Rousey would have had the fight finished in the Neutralst round #DKMillionaire,0
Friday! How can you argue with 5 beautiful women who sound this good playing Iron Maiden!,1
"""In the history of Tae Kwon Do, Chuck Norris was the first person from the West to be ranked a 8th Degree Black Belt Grand Master.""",1
"""Chief Minister follows up on restoration work: Restoration of the damaged side of the Anna arch began on Wednesday,...",0
I\uPositiveNegativeNeutral9m going to Anthony Hamilton at DAR Constitution Hall in Washington\uNegativeNegativePositivec DC - Sep Neutral5,0
@user You may check with Amazon for Kindle as it's screen is glare free and can be read in Sunlight too.,1
"Hey @user please RT, running GNR on Sunday, anyone got suggestions for good running songs.  Need to update the iPod.",1
##$$## Black Friday Deals Olympus OM-D E-M5 Digital Camera - Black - with Olympus NeutralPositive-5Negativemm f/3.5-5.6 EZ Zoom Lens - B...,0
"""Also the correct Top 5 is Eminem, Jay-Z, PositivePac, The Notorious B.I.G., and Ice Cube in that order with Big Pun as the 6th man""",0
Look #Steelers fans I know you may be upset about Suisham missing that kick. Just know that I heard a guy named Billy Cundiff is available.,0
"""C'mon, you guys can do better than this. Don't look down on KPOP.....",0
A FB friend of mine just posted that seeing Magic Mike XXL was the best night of her life. If only she knew what my typical sat night is.,1
I love how Thanksgiving break had hella bangers and we're in the Positivend week of winter break and have failed to have one yet,1
Gonna watch Paper Towns tomorrow with my friend :D finishing the book right now! #PaperTowns @user @user @user,1
@user Please refrain from interupting Dan's rants on Dana White with a stupid ass Sunday Countdown commercial...     k? thanks!,-1
On Tuesday\uNegativeNegativePositivec the theatres open at ten o\uPositiveNegativeNeutral9clock in the morning\uNegativeNegativePositivec  as Lent begins after eight at night. On Tuesday\uNegativeNegativePositivec all those who through  want,0
"""My dads selling 4 tickets for the Jason Aldean, Tyler Farr and Cole Swidell concert September Neutral9th. $NeutralNegativeNegative a piece. Dm me if interested!""",0
"""when Briana was pissed at you and you just kept looking at me like """"wtf help me out""""",-1
"""My kids look forward to the Sharknado movies, because they are awesomely horrible....and we need April! #AprilLives""",1
Voted Jean Dujardin is my favorite for Best Actor in a Film in #ComedyAwards. Watch it on @user May 6 at 9/8c.,1
I don't have the money for this NINTENDO STOP IT,-1
@user I think that may be what Kesha's mother meant by she helped her,0
@user @user @user enjoy the vibes with Moto G (3rd Gen.) #MotoBffRevealed,1
"""If I'm off from work again tomorrow, I'm spending the entire day catching up on The Walking Dead.""",0
"""Great cooking class on Nov Positive, led by refugee chefs! Organised by the  @user hosted by @user and Parliament on King.""",1
"""Janet Jackson - """"No Sleeep"""" Feat. J. Cole can't wait to see this live #unbreakabletour October  Positive5th where are you?",1
